pais,departamento,municipio,lat,lon,familia,lengua,significado,origen,lengua_nativa,tema,otros_nombres,fuente,enlace_embeber
Bolivia,Potosí,San Pablo,-22.177104,-67.234187,Indoeuropea/Romance,Español,"
Pablo es un nombre masculino de origen latino, utilizado desde la antigua Roma. Deriva del adjetivo ""paulus"", que significa ""pequeño"". Su popularidad en el mundo cristiano se debe a San Pablo de Tarso. En español, evolucionó de ""Pablos"" a ""Pablo"".","Pablo de Tarso, también conocido como Saulo de Tarso o simplemente san Pablo, fue un importante líder cristiano del siglo I. Es llamado el ""Apóstol de los gentiles"" o ""el Apóstol"", ya que se dedicó a difundir el cristianismo entre las personas no judías. Fundó comunidades cristianas en varias ciudades importantes del Imperio romano, como Antioquía, Corinto, Éfeso y Roma, y escribió algunos de los primeros textos cristianos, como la Primera epístola a los tesalonicenses, el escrito más antiguo que se conoce. Pablo es una figura clave en los inicios del cristianismo y una de las personas más influyentes en su historia.",Sí,Espiritualidad / Religión,,,
Bolivia,Chuquisaca,Las Carreras,-21.295671,-65.320197,Indoeuropea/Romance,Español,,,,,,,
Bolivia,Chuquisaca,Villa Abecia,-20.986317,-65.28768,Indoeuropea/Romance,Español,,"El municipio se llama así en honor a Valentín Abecia Ayllón, nacido en Sucre, Bolivia, el 6 de febrero de 1846, fue un destacado médico, historiador, periodista y político. Además, ocupó el cargo de décimo sexto Vicepresidente de Bolivia, desde el 4 de agosto de 1904 hasta el 12 de agosto de 1909, durante el primer mandato del presidente Ismael Montes Gamboa. Falleció en Sucre el 10 de enero de 1910.",No,Politica,,https://es.wikipedia.org/wiki/Valent%C3%ADn_Abecia,
Bolivia,Cochabamba,Morochata,-17.202862,-66.570623,Quechua,Quechua,,Qhuchapampa se traduciría como el lago de la planicie.,Sí,Paisaje / Características naturales,,,
Bolivia,Potosí,Tomave,-20.101606,-66.394282,Quechua,"Quechua, Español",,,Sí,,,,
Bolivia,Potosí,Porco,-19.807968,-65.984148,Quechua,Español,,,No,,,,
Bolivia,Tarija,Villa Montes,-21.400945,-62.911764,Indoeuropea/Romance,Español,,"El municipio se llama así en honor a Ismael Montes Gamboa, nacido en Coro Coro, Bolivia, el 5 de octubre de 1861, fue un militar, abogado y político boliviano. Ocupó la presidencia del país en dos periodos: el primero, del 14 de agosto de 1904 al 12 de agosto de 1909, y el segundo, del 14 de agosto de 1913 al 15 de agosto de 1917. Durante su primer mandato, se firmó el Tratado de Paz y Amistad con Chile en 1904.

Además, Montes es reconocido por haber sido el único presidente boliviano en participar en tres conflictos bélicos internacionales. A los 18 años luchó en la Guerra del Pacífico (1879-1880) contra Chile, a los 40 años participó en la Guerra del Acre (1900-1903) contra Brasil, y finalmente, a los 71 años, fue parte de la Guerra del Chaco (1932-1935) contra Paraguay. Falleció en La Paz el 16 de octubre de 1933.",No,Politica,,https://es.wikipedia.org/wiki/Ismael_Montes,
Bolivia,Potosí,Yocalla,-19.495569,-65.94099,Quechua,Quechua,"Proviene del quechua ""lluqhalla"" que significa ""mucho o adolescente varón'.",,Sí,Lengua,,Teofilo Layme A. (2007),
Bolivia,Potosí,Urmiri,-19.472815,-66.18074,,,,,,,,,
Bolivia,Oruro,Todos Santos,-19.028154,-68.758624,Indoeuropea/Romance,Español,,"El municipio se llama haciendo referencia al Día de Todos los Santos, una celebración cristiana que se realiza el 1 de noviembre en las iglesias católicas de rito latino, y el primer domingo de Pentecostés en las iglesias ortodoxas y católicas de rito bizantino. ",No,Espiritualidad / Religión,,https://es.wikipedia.org/wiki/D%C3%ADa_de_Todos_los_Santos,
Bolivia,Santa Cruz,Concepción,-15.298453,-62.112125,Indoeuropea/Romance,Español,"Proviene del latín conceptiō, conceptiōnis, participio pasado de concipiō, concipere (""recibir, contener, captar, derivar, concebir"").","Se llama así debido a la Inmaculada Concepción de María, también llamada la Purísima Concepción, es un dogma de la Iglesia católica que fue declarado en 1854. Este dogma afirma que la Virgen María estuvo exenta del pecado original desde el instante de su concepción, gracias a los méritos de su hijo Jesucristo. Con esta proclamación, se recoge la creencia que ha perdurado en la tradición cristiana durante dos mil años.",No,Espiritualidad / Religión,,https://es.wikipedia.org/wiki/Inmaculada_Concepci%C3%B3n,
Bolivia,Santa Cruz,Santa Rosa,-16.659251,-63.838686,Indoeuropea/Romance,Español,,"Se nombró al municipio así en honor a Santa Rosa de Lima, cuyo nombre de nacimiento fue Isabel Flores de Oliva, quien nació en Lima el 20 de abril de 1586 y falleció en 1617. Fue una santa católica y miembro laico de la orden dominica, que fue canonizada por el papa Clemente X en 1671. Rosa de Lima fue la primera persona nacida en América en ser reconocida oficialmente como santa por la Iglesia católica.

En 1669 fue declarada patrona de Lima, y un año después, en 1670, fue proclamada patrona del Nuevo Mundo y las Filipinas. También es patrona de varias instituciones, como escuelas, cuerpos policiales en Perú, Paraguay, Venezuela, y las Fuerzas Armadas de Argentina. Debido a la enfermedad que causó su muerte, también es considerada la patrona de las personas que sufren de tuberculosis.",No,Espiritualidad / Religión,,https://es.wikipedia.org/wiki/Rosa_de_Lima,
Bolivia,Beni,Huacaraje,-13.823984,-64.062753,,,,,,,,,
Bolivia,Oruro,La Rivera,-19.062046,-68.66012,Indoeuropea/Romance,Español,Rivera se refiere a un arroyo o río pequeño.,,No,Paisaje / Características naturales,,"https://www.rae.es/dpd/rivera#:~:text=1.,mar'%20%3B%20%E2%86%92%20ribera).",
Bolivia,Oruro,Carangas,-18.901571,-68.665417,Jaqi/Aru,Aymara,"\El término “carangas” tiene interpretaciones variadas. Algunos sugieren que viene del aimara ""kara"" (pelado) y ""anqa"" (afuera), señalando a personas de ""tierras peladas"".","Carangas se tratata de un señorio que abarcaba las actuales provincias de Sajama, Caranga, Sabaya y Totora en Oruro, con mayor territorio  en el pasado.",Sí,Paisaje / Características naturales,,http://www.vicetierras.gob.bo/atlas/tree-show-files.html,
Bolivia,Oruro,Yunguyo del Litoral,-18.87591,-68.351714,,,,,,,,,
Bolivia,Oruro,Huachacalla,-18.794383,-68.27506,Quechua,Quechua,"Existe una teoría de que ""Huachacalla"" proviene del quechua ""Atuq wachana"", lugar donde paren las zorras/ lugar donde nacen los zorros.",,Sí,Fauna,,https://books.google.com.bo/books?id=GIPjAAAAMAAJ&printsec=frontcover&source=gbs_vpt_reviews#v=onepage&q&f=false,
Bolivia,Oruro,Esmeralda,-18.945711,-68.088169,Indoeuropea/Romance,Español,"La palabra ""esmeralda"" proviene del griego antiguo ""smáragdos"", que pasó al latín como ""smaragdus"" y luego al francés antiguo como ""esmeraude"". Se debate si este término griego tiene origen en el persa, el semita o el sánscrito.",,No,Paisaje / Características naturales,,"https://es.wiktionary.org/wiki/esmeralda#:~:text=al.da-,Etimolog%C3%ADa%201,del%20semita%20o%20del%20s%C3%A1nscrito.",
Bolivia,Oruro,Santuario de Quillacas,-19.319413,-66.813331,,Español/Quechua,"La palabra Quillaka podría provenir del  aymara y puede relacionarse con “Quilla"" (ceniza) o Kukayapu” (se trata de una chacra de coca).",,Sí,Paisaje / Características naturales,,http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf,
Bolivia,Oruro,Pampa Aullagas,-19.231483,-67.165148,Quechua,Quechua," “Aullagas” (ciudad de piedra) podría provenir del vocablo aymara y quechua “allyu, aqas, awlla, jasa, denominativos que con el tiempo han quedado como Aullagas. En quechua, awlla significa “grande” y jasa “tierra blanda”. Mientras en aymara, allyu quiere decir “clan familiar y “aqa” significa “este o está”.",,Sí,Paisaje / Características naturales,,http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf,
Bolivia,Oruro,Santiago de Huari,-19.164323,-66.563678,Indoeuropea/Romance,Español,,"La provincia Santiago de huari se denomina así en honor al santo Santiago de Zebedeo, conocido también como Santiago el Mayor, fue uno de los apóstoles más importantes de Jesús, según varios textos del nuevo testamento. Se le llama ""el Mayor"" para diferenciarlo de otro apóstol con el mismo nombre, Santiago el Menor. Santiago formaba parte del grupo cercano a Jesús, acompañándolo en momentos clave como la resurrección de la hija de Jairo, la transfiguración y en el huerto de Getsemaní, cuando Jesús oró antes de su muerte.

Santiago también fue testigo de las apariciones de Jesús resucitado y de la pesca milagrosa en el mar de Tiberíades. Después de la resurrección de Jesús, estuvo en oración junto con otros apóstoles durante Pentecostés, siendo un líder importante de la primera comunidad cristiana junto a Pedro y Juan. Fue ejecutado en Jerusalén por orden de Herodes Agripa I entre los años 41 y 44. Hoy en día, es reconocido como el patrono de España.  Además, se lo denomina de huari porque este Santo pertenece a la misma comunidad con este nombre, Huari. Para el pueblo Uru Wari es un semidios en la mitología altiplánica quien tenía el atributo de la fuerza.",No,Espiritualidad / Religión,,,
Bolivia,Oruro,Pazña,-18.613415,-66.912969,Quechua,Quechua,"""Paskana""/""phaskana"" hace referencia al lugar o paraje donde anteriormente las personas se quedaban a descansar durante sus viajes.  ","Deriva del vocablo quechua ""paskana""/""phaskana"".",Sí,Paisaje / Características naturales,,,
Bolivia,Oruro,Andamarca,-18.892552,-67.381057,Jaqi/Aru,Aymara,,,,,,,
Bolivia,Oruro,Cruz de Machacamarca,-18.716814,-68.374389,Jaqi/Aru,Aymara,Su nombre proviene de las voces aymaras: “Machaka” que significa nuevo y “marka” es pueblo.,,Sí,Paisaje / Características naturales,,http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf,
Bolivia,Oruro,Antequera,-18.524944,-66.775425,Indoeuropea/Romance,Español,,"""Antequera"" es un nombre propio que se refiere a una ciudad situada en la provincia de Málaga, en España. Su denominación deriva del término romano Antikaria, que significa ""antigua"".",Sí,Paisaje / Características naturales,,https://es.wikipedia.org/wiki/Antequera,
Bolivia,Potosí,Llallagua,-18.363388,-66.572135,Jaqi/Aru,Aymara,"Proviene del aymara y significaría ""ser antinatural, criatura a normal, deforme, objeto raro"".",,Sí,Paisaje / Características naturales,,http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf,
Bolivia,Potosí,Caripuyo,-18.180223,-66.593245,,,,,,,,,
Bolivia,Oruro,Belén de Andamarca,-18.892038,-67.749801,,,,,,,,,
Bolivia,Oruro,Corque,-18.464149,-67.799452,,,,,,,,,
Bolivia,Cochabamba,Aiquile,-18.323362,-65.103805,,,,,,,,,
Bolivia,Potosí,Sacaca,-18.117653,-66.343634,Jaqi/Aru,Aymara,"""Sakaka"" significa ""cometa"".",,Sí,Paisaje / Características naturales,,,
Bolivia,Potosí,Acasio,-18.050004,-66.014465,Indoeuropea/Romance,Español/Quechua,,"Acacio de Bizancio fue un mártir y santo en la Iglesia católica, reconocido como uno de los 14 Santos auxiliadores y venerado como santo militar. Se le considera un centurión griego de Capadocia en el ejército imperial, quien fue martirizado alrededor del año 304. En Constantinopla, existió una iglesia vinculada a su nombre, conocida como la Iglesia de San Acacio.",No,Espiritualidad / Religión,,"https://es.wikipedia.org/wiki/Acacio_de_Bizancio#:~:text=Acacio%20fue%20arrestado%2C%20acusado%20de,cuando%20se%20celebra%20su%20fiesta.",
Bolivia,Oruro,Huanuni,-18.26269,-66.76501,,,,,,,,,
Bolivia,Oruro,Machacamarca,-18.15329,-66.97448,Jaqi/Aru,Aymara,"Proviene del aymara ""machaka” que significa nuevo y “marka” que significa pueblo.",,Sí,Paisaje / Características naturales,,http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf,
Bolivia,Potosí,Arampampa,-17.945266,-66.125924,Quechua,Quechua,"""Ara"" significa ""arriba"" y ""pampa"" es ""suelo"". ",,Sí,Paisaje / Características naturales,,,
Bolivia,Cochabamba,Sacabamba,-17.776439,-65.786264,Quechua,Quechua,"Podría provenir del quechua ""sakaka"" (cometa) y ""pampa"" (llano). ",,Sí,Paisaje / Características naturales,,https://futatraw.ourproject.org/descargas/DicQuechuaBolivia.pdf,
Bolivia,Cochabamba,Anzaldo,-17.843663,-65.9167,Indoeuropea/Romance,Español,"Forma italiana de un nombre germánico compuesto por los elementos ""ans"" que quiere decir ""dios"" y ""wald"" que significa ""poder, líder, gobernante"".","El motivo del nombre se debe a Francisco Anselmo Anzaldo, quien combatió junto a Esteban Arze en la batalla del Quewiñal.",No,Politica,,,
Bolivia,Cochabamba,Toco,-17.647473,-65.920487,,,,,,,,,
Bolivia,Cochabamba,Villa Gualberto Villarroel,-17.690011,-65.771068,Indoeuropea/Romance,Español,,"El nombre se debe a Gualberto Villarroel López quien fue un militar y político boliviano, que ocupó los cargos de presidente de la Junta Militar de Gobierno (1943-1944), presidente provisorio (1944-1945) y presidente constitucional (1945-1946).",No,Politica,,https://es.wikipedia.org/wiki/Gualberto_Villarroel,
Bolivia,Cochabamba,Tacachi,-17.638,-65.788521,,,,,,,,,
Bolivia,Cochabamba,Villa Rivero,-17.648257,-65.852777,Indoeuropea/Romance,Español,,"Francisco del Rivero (1757-1813) fue un militar y político de Cochabamba que lideró la primera revolución en la ciudad en 1810. Nació en 1758, hijo del corregidor Francisco del Rivero y Manuela Muguertegui.",No,Politica,,,
Bolivia,Cochabamba,Cliza,-17.58194,-65.936693,,,,,,,,,
Bolivia,Cochabamba,Tacopaya,-17.826512,-66.625899,Jaqi/Aru,Aymara,"Significaría ""donde hay dos algarrobos"". Proviene del aymara ""taqu"" (algarrobo)  y ""paya"" (dos).",,Sí,Flora,,http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf,
Bolivia,Oruro,El Choro,-18.264234,-67.174706,,,,,,,,,
Bolivia,Oruro,Toledo,-18.275628,-67.413201,,,,,,,,,
Bolivia,Oruro,Oruro,-17.959984,-67.091495,,Uru,"El término ""uru-uru"" significa ""lugar donde nace la luz"" y está relacionado con la etnia uru y el lago del mismo nombre. La ciudad se fundó en sus márgenes en el siglo XVI.",,Sí,Paisaje / Características naturales,,,
Bolivia,Oruro,Huayllamarca,-17.92749,-67.820158,Jaqi/Aru,Aymara,,,,,,,
Bolivia,La Paz,San Pedro de Curahuara,-17.633487,-67.966636,,,,,,,,,
Bolivia,Cochabamba,Sicaya,-17.791218,-66.341589,Jaqi/Aru,Aymara,,,,,,,
Bolivia,Santa Cruz,Puerto Quijarro,-18.426201,-57.684966,Indoeuropea/Romance,Español/Quechua,,"El nombre se debe a Antonio Quijarro Quevedo que fue un político,  abogado y editor del periódico El Siglo en Sucre en 1860 y diputado por Potosí en 1861. Crítico de la dictadura de Mariano Melgarejo, también se destacó como diplomático, siendo embajador en Londres (1873-1876) bajo el gobierno de Tomás Frías y miembro del Partido Rojo.",No,Politica,,https://es.wikipedia.org/wiki/Antonio_Quijarro,
Bolivia,Cochabamba,Capinota,-17.777554,-66.22679,,,,,,,,,
Bolivia,Cochabamba,Arque,-17.825779,-66.416823,,,,,,,,,
Bolivia,Cochabamba,Santivañez,-17.573589,-66.218018,Indoeuropea/Romance,Español,,"Se denomina así por José María Santiváñez Gumucio, nacido en Cochabamba, Bolivia, en 1815 y fallecido en 1893, fue un destacado biógrafo, escritor de folletos y político boliviano.n",No,Politica,,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Santiv%C3%A1%C3%B1ez,
Bolivia,Oruro,Paria,-17.857185,-66.935963,,,,,,,,,
Bolivia,La Paz,Chacarilla,-17.548563,-68.170032,,,,,,,,,
Bolivia,Cochabamba,Tolata,-17.526695,-66.002703,Quechua,Quechua,"Zona donde abunda la planta t'ula. T'ula o también conocida como thola o tola, es una planta arbustiva altoandina muy utilizada como planta medicinal y como combustible ecológico.",,Sí,Flora,,,
Bolivia,Cochabamba,Arbieto,-17.558275,-66.065064,,,,,,,,,
Bolivia,Oruro,Eucaliptus,-17.634575,-67.440834,Indoeuropea/Romance,Español,,"Denominado así por los eucaliptos, del género Eucalyptus, árboles y arbustos de la familia de las mirtáceas, con unas setecientas especies, principalmente de Australia y Nueva Guinea. Se cultivan principalmente para producir pulpa de celulosa, aunque también se utilizan como combustible, en la industria maderera y por sus propiedades ornamentales.",No,Flora,,https://es.wikipedia.org/wiki/Eucalyptus,
Bolivia,La Paz,Papel Pampa,-17.697204,-67.709582,Indoeuropea/Romance,Castellano,,,,,,,
Bolivia,La Paz,Santiago de Callapa,-17.400886,-68.347087,,,,,,,,,
Bolivia,La Paz,Umala,-17.403979,-67.997199,,,,,,,,,
Bolivia,Cochabamba,Cochabamba,-17.425148,-66.16868,Quechua,Quechua,"Proviene de Qhuchapampa que significa ""el lago de la planicie"".",,Sí,Paisaje / Características naturales,,,
Bolivia,Oruro,Caracollo,-17.691428,-67.292236,Jaqi/Aru,Aymara,,,,,,,
Bolivia,La Paz,Catacora,-17.252705,-69.480493,Jaqi/Aru,Aymara,,,,,,,
Bolivia,La Paz,Yaco,-17.240131,-67.398738,,,,,,,,,
Bolivia,La Paz,Calacoto,-17.562385,-68.772283,Jaqi/Aru,Aymara,"Significa ""montón de piedras"" y proviene de ""qala"" que significa ""piertra"" y ""qutu"" es ""monton.""",,,,,,
Bolivia,Cochabamba,Arani,-17.592723,-65.72657,Quechua,Quechua,"Topónimo que proviene de ""Arini"" que significa untar o adobar la olla para que dure más.",,Sí,Paisaje / Características naturales,,,
Bolivia,Cochabamba,Punata,-17.549255,-65.831432,,,,,,,,,
Bolivia,La Paz,Sicasica,-17.374501,-67.619117,,,,,,,,,
Bolivia,Cochabamba,San Benito,-17.498199,-65.878969,Indoeuropea/Romance,Español,,"Benito de Nursia, nacido en 480 en Umbría y fallecido en 547, fue un monje cristiano y fundador de la orden benedictina, que promovía monasterios autosuficientes. Considerado patrón de Europa, escribió la ""Santa Regla"", que inspiró a muchas comunidades religiosas y se le atribuye la creación de la Medalla de San Benito.",No,Espiritualidad / Religión,,https://es.wikipedia.org/wiki/Benito_de_Nursia,
Bolivia,La Paz,Patacamaya,-17.216528,-67.913295,Jaqi/Aru,Aymara,"El nombre de Patacamaya significaría ""cien muertos"" en español, y proviene de las palabras aymara ""pataka"" que significa ""100"" y ""amaya"" que significa ""muerto"".","El nombre de esta localidad del departamento de La Paz se originó en los años 1920, cuando se produjo una guerra entre los pueblos originarios aimarás y quechuas en la que murieron alrededor de 101 personas. ",Sí,Época / Hecho histórico,,https://en.wikipedia.org/wiki/Patacamaya,
Bolivia,La Paz,Corocoro,-17.173134,-68.432235,,,,,,,,,
Bolivia,La Paz,Colquencha,-16.991897,-68.256973,,,,,,,,,
Bolivia,La Paz,Santiago de Machaca,-17.189524,-69.270576,,,,,,,,,
Bolivia,La Paz,Nazacara de Pacajes,-16.926547,-68.75767,,,,,,,,,
Bolivia,La Paz,Caquiaviri,-17.08523,-68.817936,,,,,,,,,
Bolivia,Potosí,Vitichi,-20.349634,-65.432427,,,,,,,,,
Bolivia,La Paz,Luribay,-17.09387,-67.634798,,,,,,,,,
Bolivia,La Paz,Malla,-17.011443,-67.426816,,,,,,,,,
Bolivia,La Paz,Collana,-16.90372,-68.30118,Jaqi/Aru,Aymara,"
","El nombre ""Qullasuyu"" proviene de los habitantes aimarahablantes de varios reinos independientes en la meseta del Titicaca, que los incas agrupaban bajo el término ""qullas"" (o ""collas""). En quechua, ""Qulla"" también se interpreta como ""tierra de sabios""",Sí,Época / Hecho histórico,,https://es.wikipedia.org/wiki/Collasuyo,
Bolivia,La Paz,Comanche,-16.950441,-68.450163,Indoeuropea/Romance,Español,,"Los comanches, o ""nʉmʉnʉʉ"" en su idioma, son una tribu amerindia originaria de la Comanchería, un territorio que abarcaba el noroeste de Texas y áreas cercanas. En su apogeo, alcanzaron una población de 45,000 personas. Actualmente, la Nación Comanche tiene aproximadamente 17,000 miembros, de los cuales muchos viven en Oklahoma, Texas, California y Nuevo México. Su lengua, el comanche, pertenece a la familia yuto-azteca y es similar al shoshone, aunque hoy en día solo unos pocos cientos lo hablan, ya que la mayoría utiliza el inglés.",Sí,Época / Hecho histórico,,Wikimedia,https://es.wikipedia.org/wiki/Comanche_(etnia)
Bolivia,La Paz,Calamarca,-16.890462,-68.112429,Jaqi/Aru,Aymara,,,,,,,
Bolivia,La Paz,Sapahaqui,-16.953585,-67.835976,,,,,,,,,
Bolivia,La Paz,Cairoma,-16.845778,-67.576886,,,,,,,,,
Bolivia,La Paz,Viacha,-16.73386,-68.31066,Jaqi/Aru,Aymara,"Se estima que la palabra Viacha deriva del aymara ""wilancha"" (derramamiento de sangre).",Como resultado de este estado de beligerancia que se vivió en la zona.,No,Época / Hecho histórico,,"Ludovico, B. (1612). Transcripción del vocabulario de la lengua Aymara.  ",http://www.illaa.org/pirwa/diccionarios/LudovicoBertonioMuchosCambios.pdf
Bolivia,La Paz,Colquiri,-17.421314,-66.994184,Jaqi/Aru,Aymara,"Proviene de la palabra en quechua ""qullqi"" que signfica dinero haciendo referencia a un lugar donde hay plata, dinero o riqueza.",,Sí,Paisaje / Características naturales,Qullqiri,"Gomez, D. (1999).  Diccionario Aymara. ",
Bolivia,La Paz,Ichoca,-17.184918,-67.193485,Jaqi/Aru,Aymara,Lugar donde las personas ayudan a bajar algo en sus brazos.,,Sí,,Ichuqaña,"Gomez, D. (1999). Diccionario Aymara.",
Bolivia,La Paz,Villa Libertad Licoma,-16.811894,-67.203145,,,,,No,,Licoma pampa,,
Bolivia,La Paz,Quime,-16.848924,-67.340905,,,,,No,,,,
Bolivia,La Paz,Laja,-16.588507,-68.459579,Jaqi/Aru,Aymara,"Proviene del aymara y en español se traduciría como ""despejado"".",,Sí,,,"Gomez, D. (1999). Diccionario Aymara.",
Bolivia,La Paz,Mecapaca,-16.718539,-67.978648,,,,,,,,,
